age,gender,weight,height,activity_level,goal,preferences,calorie_needs,day,meal_type,meal_name,ingredients,calories
25,Male,75,180,Sedentary,Weight Gain,Vegetarian,1800,2,Dinner,Baked Chicken,"Banana, strawberries, chia seeds",700
50,Female,80,175,Sedentary,Maintenance,No Dairy,1500,1,Lunch,Caprese Salad,"Whole grain pancakes, peanut butter, banana",350
25,Male,80,160,Active,Weight Gain,High Protein,1800,2,Lunch,Turkey and Avocado Wrap,"Brown rice, grilled chicken, black beans, salsa, guacamole",800
40,Male,60,150,Moderate,Weight Gain,Low Carb,1600,2,Lunch,Quinoa Bowl,"Mixed greens, salmon, avocado, cucumber, olive oil dressing",450
40,Male,65,185,Sedentary,Maintenance,No Gluten,1600,2,Lunch,Vegetable Stir Fry,"Beans, tomatoes, peppers, onions, spices",300
25,Female,50,185,Active,Weight Loss,High Protein,1500,2,Dinner,Turkey and Avocado Wrap,"Brown rice, grilled chicken, black beans, salsa, guacamole",400
25,Male,90,160,Sedentary,Maintenance,High Protein,1500,2,Breakfast,Cheese Omelette,"Broccoli, carrots, tofu, soy sauce, brown rice",600
30,Female,85,150,Sedentary,Weight Loss,No Gluten,1800,1,Lunch,Cheese Omelette,"Salmon, steamed broccoli, quinoa",800
35,Male,85,170,Moderate,Weight Gain,Low Carb,1600,2,Breakfast,Vegetable Stir Fry,"Tomatoes, mozzarella, basil, olive oil, balsamic glaze",650
50,Male,80,185,Sedentary,Weight Gain,High Protein,1200,1,Breakfast,Baked Chicken,"Spinach, kale, banana, almond milk",400
40,Female,95,150,Active,Weight Gain,Low Carb,1800,2,Dinner,Smoothie Bowl,"Romaine lettuce, grilled chicken, Caesar dressing, Parmesan",550
25,Female,50,180,Sedentary,Maintenance,No Gluten,1400,2,Breakfast,Smoothie Bowl,"Shrimp, corn tortillas, slaw, salsa",450
30,Female,55,155,Active,Weight Loss,No Gluten,1400,1,Lunch,Grilled Vegetable Salad,"Broccoli, carrots, tofu, soy sauce, brown rice",600
30,Female,75,185,Moderate,Maintenance,Low Carb,1400,1,Breakfast,Baked Salmon,"Broccoli, carrots, tofu, soy sauce, brown rice",700
35,Female,75,185,Sedentary,Maintenance,No Gluten,1800,2,Breakfast,Grilled Chicken Salad,"Zucchini, bell peppers, spinach, olive oil",550
35,Female,55,175,Sedentary,Weight Loss,Low Carb,1600,2,Breakfast,Caesar Salad,"Eggs, bell peppers, spinach, olive oil",400
40,Female,50,185,Active,Maintenance,No Dairy,1500,1,Breakfast,Vegetable Stir Fry,"Zucchini, bell peppers, spinach, olive oil",600
30,Female,95,165,Active,Weight Loss,No Dairy,1200,1,Lunch,Grilled Chicken Salad,"Chicken breast, mixed greens, balsamic vinaigrette",700
30,Male,65,155,Moderate,Maintenance,No Gluten,1500,2,Breakfast,Turkey and Avocado Wrap,"Scrambled eggs, turkey bacon, avocado",700
30,Male,80,175,Sedentary,Weight Loss,High Protein,1600,2,Breakfast,Baked Chicken,"Lentils, carrots, onions, celery, vegetable broth",850
30,Female,85,150,Active,Weight Gain,High Protein,1500,2,Breakfast,Pancakes with Peanut Butter,"Zucchini noodles, pesto, grilled shrimp",700
40,Male,55,150,Active,Maintenance,Vegetarian,1200,2,Breakfast,Avocado Toast,"Whole wheat bread, scrambled eggs, spinach, cheese",250
40,Female,80,160,Sedentary,Weight Loss,Low Carb,1400,1,Lunch,Yogurt Parfait,"Whole grain pasta, ground beef, tomato sauce, Parmesan",450
40,Male,55,175,Active,Weight Gain,No Dairy,1800,2,Breakfast,Turkey and Avocado Wrap,"Spinach, kale, banana, almond milk",850
30,Male,65,180,Sedentary,Weight Gain,No Gluten,1600,2,Lunch,Grilled Shrimp Tacos,"Broccoli, carrots, tofu, soy sauce, brown rice",700
50,Female,75,180,Active,Weight Loss,Vegetarian,1200,1,Dinner,Pancakes with Peanut Butter,"Turkey, lettuce, avocado, salsa",600
40,Male,95,180,Active,Maintenance,Vegetarian,1600,1,Breakfast,Vegetable Stir Fry,"Zucchini noodles, pesto, grilled shrimp",850
25,Female,50,175,Moderate,Weight Loss,No Dairy,1400,1,Breakfast,Grilled Chicken Salad,"Eggs, cheese, spinach, mushrooms",700
30,Female,95,155,Active,Weight Gain,High Protein,1800,1,Breakfast,Grilled Chicken and Veggies,"Eggs, bell peppers, spinach, olive oil",800
30,Female,55,185,Sedentary,Maintenance,High Protein,1400,1,Breakfast,Pancakes with Peanut Butter,"Shrimp, corn tortillas, slaw, salsa",300
50,Male,65,165,Moderate,Weight Loss,No Gluten,1600,1,Dinner,Egg Sandwich,"Shrimp, corn tortillas, slaw, salsa",700
50,Female,85,155,Active,Maintenance,No Dairy,1200,2,Breakfast,Yogurt Parfait,"Eggs, cheese, spinach, mushrooms",300
40,Female,60,160,Moderate,Maintenance,High Protein,1600,2,Breakfast,Egg Sandwich,"Salmon, steamed broccoli, quinoa",250
40,Female,50,175,Active,Maintenance,Vegetarian,1800,1,Breakfast,Oatmeal Bowl,"Greek yogurt, granola, mixed berries",400
50,Female,65,170,Active,Weight Gain,High Protein,1800,1,Breakfast,Turkey and Avocado Wrap,"Steak, roasted sweet potato, green beans",800
50,Male,80,155,Moderate,Weight Gain,No Gluten,1600,1,Lunch,Grilled Chicken Salad,"Whole wheat bread, scrambled eggs, spinach, cheese",500
30,Female,55,175,Moderate,Maintenance,High Protein,1500,1,Dinner,Cheese Omelette,"Banana, strawberries, chia seeds",250
30,Male,90,165,Moderate,Weight Gain,Low Carb,1200,1,Lunch,Quinoa Bowl,"Whole grain pancakes, peanut butter, banana",300
35,Female,90,160,Sedentary,Weight Loss,Low Carb,1400,1,Dinner,Egg and Veggie Scramble,"Eggs, bell peppers, spinach, olive oil",400
25,Female,55,175,Active,Weight Loss,Vegetarian,1800,2,Lunch,Grilled Salmon,"Eggs, cheese, spinach, mushrooms",400
50,Male,50,165,Moderate,Weight Loss,No Gluten,1200,2,Lunch,Grilled Salmon,"Oats, almond milk, blueberries",400
40,Male,95,160,Sedentary,Maintenance,Low Carb,1400,1,Breakfast,Grilled Salmon,"Whole grain pasta, ground beef, tomato sauce, Parmesan",700
40,Female,65,185,Moderate,Weight Gain,Low Carb,1800,1,Dinner,Quinoa Bowl,"Scrambled eggs, turkey bacon, avocado",700
25,Male,90,155,Sedentary,Weight Gain,Vegetarian,1600,1,Breakfast,Grilled Chicken and Veggies,"Broccoli, carrots, tofu, soy sauce, brown rice",550
35,Male,95,150,Moderate,Weight Gain,No Dairy,1500,2,Dinner,Lentil Soup,"Brown rice, grilled chicken, black beans, salsa, guacamole",500
30,Male,95,160,Sedentary,Weight Loss,High Protein,1800,1,Breakfast,Pasta with Meat Sauce,"Tomatoes, mozzarella, basil, olive oil, balsamic glaze",750
50,Female,60,180,Sedentary,Weight Gain,No Gluten,1800,2,Lunch,Quinoa Bowl,"Spinach, kale, banana, almond milk",750
50,Female,50,175,Moderate,Weight Loss,Low Carb,1800,1,Dinner,Baked Chicken,"Oats, almond milk, blueberries",300
50,Female,50,165,Active,Weight Gain,Low Carb,1800,2,Dinner,Eggs and Bacon,"Lentils, carrots, onions, celery, vegetable broth",250
25,Female,95,170,Active,Weight Gain,No Gluten,1200,1,Dinner,Caesar Salad,"Spinach, kale, banana, almond milk",800
50,Male,75,165,Active,Maintenance,No Dairy,1800,2,Lunch,Grilled Shrimp Tacos,"Tomatoes, mozzarella, basil, olive oil, balsamic glaze",450
35,Female,65,175,Active,Maintenance,Vegetarian,1500,2,Dinner,Cheese Omelette,"Zucchini noodles, pesto, grilled shrimp",700
25,Female,95,150,Sedentary,Weight Loss,No Dairy,1200,2,Lunch,Oatmeal Bowl,"Eggs, bell peppers, spinach, olive oil",250
50,Female,95,185,Sedentary,Weight Loss,Vegetarian,1600,1,Dinner,Lentil Soup,"Steak, roasted sweet potato, green beans",850
25,Male,55,160,Sedentary,Weight Loss,High Protein,1400,1,Dinner,Oatmeal Bowl,"Mixed greens, salmon, avocado, cucumber, olive oil dressing",500
25,Male,85,175,Active,Maintenance,Low Carb,1200,1,Breakfast,Turkey Lettuce Wraps,"Oats, almond milk, blueberries",600
50,Female,60,185,Active,Weight Gain,Low Carb,1600,2,Dinner,Quinoa Bowl,"Zucchini, bell peppers, spinach, olive oil",650
35,Female,75,155,Active,Weight Gain,Low Carb,1200,2,Dinner,Baked Chicken,"Salmon, steamed broccoli, quinoa",450
50,Female,55,150,Moderate,Maintenance,Low Carb,1400,1,Dinner,Steak and Sweet Potato,"Chicken breast, sweet potatoes, asparagus",600
25,Male,65,185,Active,Weight Loss,Low Carb,1500,1,Lunch,Grilled Chicken and Veggies,"Whole wheat bread, scrambled eggs, spinach, cheese",750
50,Male,80,160,Moderate,Weight Gain,High Protein,1400,2,Dinner,Grilled Chicken Salad,"Romaine lettuce, grilled chicken, Caesar dressing, Parmesan",700
40,Female,95,150,Active,Weight Gain,Low Carb,1500,2,Breakfast,Steak and Sweet Potato,"Oats, almond milk, blueberries",750
30,Male,70,150,Moderate,Weight Loss,Vegetarian,1500,1,Breakfast,Baked Chicken,"Steak, roasted sweet potato, green beans",550
35,Female,70,165,Moderate,Weight Loss,High Protein,1200,1,Lunch,Egg and Veggie Scramble,"Tomatoes, mozzarella, basil, olive oil, balsamic glaze",550
50,Female,65,150,Moderate,Weight Loss,High Protein,1800,1,Dinner,Salmon Salad,"Whole wheat bread, scrambled eggs, spinach, cheese",800
50,Female,90,180,Sedentary,Weight Loss,No Dairy,1400,1,Dinner,Baked Chicken,"Mixed greens, salmon, avocado, cucumber, olive oil dressing",450
25,Female,70,155,Active,Weight Loss,No Dairy,1600,1,Dinner,Cheese Omelette,"Zucchini noodles, pesto, grilled shrimp",500
35,Male,55,160,Moderate,Weight Gain,No Gluten,1600,1,Dinner,Caprese Salad,"Broccoli, carrots, tofu, soy sauce, brown rice",300
35,Male,75,180,Active,Weight Loss,No Gluten,1500,2,Dinner,Yogurt Parfait,"Oats, almond milk, blueberries",600
40,Male,95,175,Sedentary,Maintenance,No Dairy,1400,2,Breakfast,Lentil Soup,"Eggs, bell peppers, spinach, olive oil",400
35,Female,95,170,Active,Weight Loss,Vegetarian,1200,2,Dinner,Cheese Omelette,"Zucchini, bell peppers, spinach, olive oil",250
30,Male,95,155,Active,Maintenance,Vegetarian,1200,2,Breakfast,Green Smoothie,"Chicken breast, sweet potatoes, asparagus",350
40,Male,55,185,Sedentary,Maintenance,High Protein,1800,2,Lunch,Steak and Sweet Potato,"Salmon, asparagus, wild rice",600
25,Female,65,170,Moderate,Weight Gain,No Dairy,1500,1,Dinner,Egg and Veggie Scramble,"Mixed greens, salmon, avocado, cucumber, olive oil dressing",600
25,Male,70,180,Active,Weight Gain,High Protein,1200,2,Breakfast,Oatmeal Bowl,"Turkey, lettuce, avocado, salsa",850
30,Male,65,165,Sedentary,Weight Loss,Vegetarian,1400,2,Lunch,Zucchini Noodles with Pesto,"Zucchini, bell peppers, spinach, olive oil",250
30,Male,50,185,Sedentary,Maintenance,Vegetarian,1500,2,Dinner,Yogurt Parfait,"Whole wheat bread, scrambled eggs, spinach, cheese",550
50,Male,60,180,Active,Weight Gain,High Protein,1200,1,Breakfast,Grilled Vegetable Salad,"Chicken breast, sweet potatoes, asparagus",600
50,Male,80,180,Moderate,Weight Loss,Vegetarian,1600,2,Lunch,Lentil Soup,"Salmon, steamed broccoli, quinoa",650
40,Female,50,180,Sedentary,Maintenance,Low Carb,1200,1,Breakfast,Grilled Chicken Salad,"Beans, tomatoes, peppers, onions, spices",550
40,Male,85,165,Moderate,Weight Loss,Vegetarian,1400,2,Breakfast,Baked Salmon,"Whole grain toast, mashed avocado, poached egg",800
40,Female,90,170,Moderate,Weight Gain,Low Carb,1800,1,Breakfast,Quinoa Bowl,"Shrimp, corn tortillas, slaw, salsa",550
40,Male,90,160,Sedentary,Weight Loss,Low Carb,1400,1,Lunch,Quinoa Bowl,"Zucchini noodles, pesto, grilled shrimp",250
30,Male,65,160,Sedentary,Maintenance,High Protein,1500,1,Dinner,Grilled Shrimp Tacos,"Tomatoes, mozzarella, basil, olive oil, balsamic glaze",300
30,Female,65,175,Active,Maintenance,No Gluten,1400,2,Lunch,Cheese Omelette,"Quinoa, black beans, corn, avocado, lime dressing",250
30,Male,60,180,Moderate,Weight Loss,High Protein,1800,1,Breakfast,Turkey Lettuce Wraps,"Salmon, asparagus, wild rice",550
40,Male,50,170,Moderate,Maintenance,Low Carb,1200,1,Breakfast,Grilled Chicken and Veggies,"Salmon, steamed broccoli, quinoa",250
25,Male,60,170,Sedentary,Weight Loss,No Gluten,1600,1,Breakfast,Chicken Burrito Bowl,"Salmon, steamed broccoli, quinoa",750
40,Female,65,165,Active,Weight Loss,Vegetarian,1200,1,Breakfast,Pasta with Meat Sauce,"Spinach, kale, banana, almond milk",350
50,Male,60,180,Moderate,Maintenance,Low Carb,1500,2,Dinner,Avocado Toast,"Chicken breast, roasted zucchini, bell peppers",550
35,Male,55,175,Sedentary,Weight Gain,No Gluten,1800,2,Breakfast,Turkey and Avocado Wrap,"Steak, roasted sweet potato, green beans",850
50,Male,90,180,Active,Weight Gain,High Protein,1400,2,Lunch,Grilled Salmon,"Whole grain pancakes, peanut butter, banana",350
40,Male,90,170,Sedentary,Weight Loss,High Protein,1800,2,Dinner,Grilled Chicken Salad,"Salmon, steamed broccoli, quinoa",500
30,Male,95,150,Active,Weight Gain,Vegetarian,1200,1,Breakfast,Pancakes with Peanut Butter,"Zucchini noodles, pesto, grilled shrimp",800
35,Female,95,185,Active,Weight Loss,No Gluten,1200,2,Dinner,Vegetable Stir Fry,"Spinach, kale, banana, almond milk",250
40,Female,50,160,Moderate,Maintenance,Low Carb,1600,2,Dinner,Quinoa Bowl,"Broccoli, carrots, tofu, soy sauce, brown rice",850
25,Female,90,185,Active,Maintenance,No Gluten,1200,2,Dinner,Quinoa Bowl,"Chicken breast, mixed greens, balsamic vinaigrette",700
30,Male,50,165,Sedentary,Maintenance,No Gluten,1600,2,Lunch,Cheese Omelette,"Zucchini, bell peppers, spinach, olive oil",250
50,Male,60,165,Active,Maintenance,No Gluten,1800,2,Lunch,Avocado Toast,"Steak, roasted sweet potato, green beans",550
50,Male,85,170,Active,Weight Gain,Vegetarian,1500,2,Lunch,Green Smoothie,"Oats, almond milk, blueberries",400
25,Female,80,150,Active,Maintenance,Vegetarian,1400,2,Dinner,Grilled Chicken and Veggies,"Steak, roasted sweet potato, green beans",400
35,Female,80,150,Active,Weight Gain,Vegetarian,1500,1,Lunch,Yogurt Parfait,"Whole wheat bread, scrambled eggs, spinach, cheese",350
40,Female,65,180,Moderate,Weight Loss,High Protein,1600,1,Dinner,Pancakes with Peanut Butter,"Chicken breast, sweet potatoes, asparagus",550
50,Male,70,170,Sedentary,Weight Gain,Vegetarian,1400,2,Lunch,Egg Sandwich,"Steak, roasted sweet potato, green beans",850
35,Male,75,180,Active,Maintenance,High Protein,1800,1,Breakfast,Oatmeal Bowl,"Whole grain toast, mashed avocado, poached egg",750
40,Male,90,165,Sedentary,Weight Gain,Low Carb,1600,1,Lunch,Eggs and Bacon,"Mixed greens, salmon, avocado, cucumber, olive oil dressing",750
35,Female,85,185,Active,Maintenance,Vegetarian,1800,2,Breakfast,Baked Chicken,"Quinoa, black beans, corn, avocado, lime dressing",350
